                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1175,                 6.8989,                 4.5923,                      0,                      0,                      0,                      0,                 3.0082,                 7.1582,                 4.1577,              2.261e-05,              2.261e-05,              2.261e-05
                      2,                 3.0684,                 6.4956,                 4.4526,                      0,                      0,                      0,                      0,                 3.0098,                 7.1837,                 4.1575,             4.5951e-05,             4.5951e-05,             4.5951e-05
                      3,                 3.0436,                  5.878,                 4.3263,                      0,                      0,                      0,                      0,                 3.0151,                  7.218,                 4.1609,              6.882e-05,              6.882e-05,              6.882e-05
                      4,                 2.9607,                 5.2561,                 4.2097,                      0,                      0,                      0,                      0,                 3.0204,                 7.2436,                 4.1688,             9.1218e-05,             9.1218e-05,             9.1218e-05
                      5,                 2.9569,                 4.6009,                 4.1448,                      0,                      0,                      0,                      0,                 3.0278,                 7.2257,                 4.1831,             0.00011314,             0.00011314,             0.00011314
                      6,                 2.8707,                 4.0907,                 4.0783,                      0,                      0,                      0,                      0,                 3.0273,                  6.924,                 4.1741,             0.00011311,             0.00011311,             0.00011311
                      7,                 2.7926,                 3.7254,                 3.9764,                 0.5486,                0.21055,                0.32921,                0.14406,                 3.0038,                 5.1648,                 3.9483,             0.00011193,             0.00011193,             0.00011193
                      8,                 2.6028,                 3.3551,                 3.8493,                0.50026,                0.57386,                0.56537,                0.21891,                 2.5599,                 4.2944,                 3.8316,             0.00011075,             0.00011075,             0.00011075
                      9,                 2.5784,                 3.1021,                 3.8117,                0.60691,                0.72727,                0.71579,                0.36282,                 2.0735,                 3.4987,                  3.668,             0.00010958,             0.00010958,             0.00010958
                     10,                 2.5032,                  2.955,                 3.7426,                 0.5554,                0.75667,                0.74866,                 0.3975,                 1.9649,                 3.3781,                 3.5302,              0.0001084,              0.0001084,              0.0001084
                     11,                 2.4263,                 2.7798,                 3.6522,                0.76395,                0.60455,                0.68921,                0.38527,                 1.8256,                 3.3412,                 3.4806,             0.00010722,             0.00010722,             0.00010722
                     12,                 2.3066,                 2.7045,                 3.5964,                0.64355,                0.73984,                0.75206,                0.41342,                 1.9186,                 3.3021,                 3.4288,             0.00010604,             0.00010604,             0.00010604
                     13,                 2.3197,                 2.6141,                 3.5557,                0.89809,                0.84691,                0.89567,                0.48006,                 1.7236,                 2.8318,                 3.3299,             0.00010486,             0.00010486,             0.00010486
                     14,                  2.225,                 2.4918,                 3.4273,                0.88974,                0.90909,                 0.9206,                 0.5674,                 1.5699,                 2.8417,                 3.2163,             0.00010368,             0.00010368,             0.00010368
                     15,                 2.1574,                 2.3638,                  3.358,                0.84689,                0.83392,                0.90073,                0.54642,                 1.5755,                 2.7334,                 3.1044,             0.00010251,             0.00010251,             0.00010251
